text,label
मुझे किताबें पढ़ना पसंद है,Hindi
आज मौसम अच्छा है,Hindi
आप कैसे हैं,Hindi
मेरा नाम रोहित है,Hindi
मैं फिल्म देखने जा रहा हूँ,Hindi
यह जगह बहुत सुंदर है,Hindi
क्या आप मेरी मदद कर सकते हैं,Hindi
मुझे चाय पीना पसंद है,Hindi
आप कहाँ रहते हैं,Hindi
यह मेरा फोन है,Hindi
எனக்கு புத்தகங்கள் பிடிக்கும்,Tamil
இன்று நல்ல வானிலை,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்,Tamil
என் பெயர் அருண்,Tamil
நான் ஒரு படம் பார்க்கிறேன்,Tamil
இந்த இடம் மிகவும் அழகாக உள்ளது,Tamil
தயவு செய்து எனக்கு உதவுங்கள்,Tamil
எனக்கு காபி குடிக்க பிடிக்கும்,Tamil
நீங்கள் எங்கே வசிக்கிறீர்கள்,Tamil
இது என் தொலைபேசி,Tamil
నాకు పుస్తకాలు చాలా ఇష్టము,Telugu
ఈ రోజు వాతావరణం బాగుంది,Telugu
మీరు ఎలా ఉన్నారు,Telugu
నా పేరు రాజు,Telugu
నేను సినిమా చూస్తున్నాను,Telugu
ఈ ప్రదేశం చాలా అందంగా ఉంది,Telugu
దయచేసి నాకు సహాయం చేయండి,Telugu
నాకు చాయ్ తాగడం ఇష్టం,Telugu
మీరు ఎక్కడ ఉంటారు,Telugu
ఇది నా ఫోన్,Telugu
ನನಗೆ ڪتابಗಳು ಇಷ್ಟ,Kannada
ಇಂದು ಹವಾಮಾನ ಚೆನ್ನಾಗಿದೆ,Kannada
ನೀವು ಹೇಗಿದ್ದೀರಿ,Kannada
ನನ್ನ ಹೆಸರು ಮೋಹನ್,Kannada
ನಾನು ಸಿನಿಮಾವನ್ನು ನೋಡುತ್ತಿದ್ದೇನೆ,Kannada
ಈ ಜಾಗ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ,Kannada
ದಯವಿಟ್ಟು ನನಗೆ ಸಹಾಯ ಮಾಡಿ,Kannada
ನನಗೆ ಚಹಾ ಕುಡಿಯಲು ಇಷ್ಟ,Kannada
ನೀವು ಎಲ್ಲಲ್ಲಿ ವಾಸಿಸುತ್ತೀರಿ,Kannada
ಇದು ನನ್ನ ಫೋನ್,Kannada
আমার বই পড়তে ভাল লাগে,Bengali
আজ আবহাওয়া ভাল,Bengali
আপনি কেমন আছেন,Bengali
আমার নাম রাহুল,Bengali
আমি সিনেমা দেখছি,Bengali
এই জায়গাটা খুব সুন্দর,Bengali
দয়া করে আমাকে সাহায্য করুন,Bengali
আমার চা খেতে ভালো লাগে,Bengali
আপনি কোথায় থাকেন,Bengali
এটা আমার ফোন,Bengali
